Date,C5_alpha_0.1,C5_alpha_0.2,C5_alpha_0.3,C5_alpha_0.4,C5_alpha_0.5,C5_alpha_0.6,C5_alpha_0.7,C5_alpha_0.8,C5_alpha_0.9,C5_alpha_1.0,Buy&Hold,Benchmark
2021-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0136139349308941
2021-01-05,0.0128488110914028,0.0149670698446827,0.018270297878832,0.0232129290348511,0.0255766140924128,0.0231859111822922,0.0164209603441491,0.0063173689061312,0.0063173689061312,0.0063173689061312,0.0079663260595279,0.0068871917892334
2021-01-06,0.0203085572121853,0.02210707059987,0.0263149360675036,0.0251228144393647,0.0281327105057749,0.0152839055918009,0.0174165541478269,0.0283903022674965,0.0283903022674965,0.0283903022674965,0.0154445424588204,0.0059785338532365
2021-01-07,0.014256064044814,0.0162562881150214,0.0175261768980172,0.0215699368260393,0.0245153454811975,0.0281227344923487,0.0350094915440833,0.079446563608581,0.079446563608581,0.079446563608581,0.0097147797385405,0.0148574645238408
2021-01-08,0.0057011081451409,0.0059600059184787,0.0053201905773317,0.0078745303920406,0.0107175346307026,0.0154858925261679,0.0327082733252345,0.0784029947046744,0.0784029947046744,0.0784029947046744,0.0046652561688987,0.0056977794508017
2021-01-11,-0.0004426707315988,-0.0007474676921157,-0.0009447044238931,-0.0034287874268333,-0.0064063814825782,-0.0099911916046962,-0.0476805193749682,-0.0782141172150082,-0.0782141172150082,-0.0782141172150082,0.0001154220651472,-0.006740979679047
2021-01-12,0.0101846535545455,0.0134748656964501,0.018039437836678,0.0212396485528186,0.0247940285768324,0.0239015132415308,0.0296423946535718,0.0471529479960064,0.0471529479960064,0.0471529479960064,0.0036818725193367,0.0002114180868173
2021-01-13,0.0024668106151619,0.00227357864711,0.0025720741027285,0.0025968872590764,-0.0012961316025041,0.0006236865098462,0.0124387609254441,0.0058509508899942,0.0058509508899942,0.0058509508899942,0.0022626520487794,0.002692841565659
2021-01-14,0.0069626782654436,0.0084788875217231,0.0136188068426147,0.0164652031623502,0.0147869568848518,0.014711111951007,0.0194154807061709,-0.0110135231572978,-0.0110135231572978,-0.0110135231572978,0.0027159045509682,-0.0035017462866476
2021-01-15,-0.0160660178431812,-0.0197211754129577,-0.0236766991292493,-0.0271650808424651,-0.0266212722309136,-0.0268369926705888,-0.0230796758261453,-0.022295854459534,-0.022295854459534,-0.022295854459534,-0.0096204498280168,-0.007292710034165
2021-01-19,0.0103851542630608,0.0110338419334559,0.0131087270812815,0.0177719030813657,0.0125094413146306,0.0122313500343977,0.0174122283046295,0.022259629183488,0.022259629183488,0.022259629183488,0.0070286517698565,0.0078519171311621
2021-01-20,0.0097084238282205,0.0098102253618678,0.0087919324635324,0.0128061918444471,0.0039810350200976,0.009477874060573,0.0121705526540132,0.0069859978679067,0.0069859978679067,0.0069859978679067,0.0086913995212335,0.0138387557028576
2021-01-21,-0.0063808841421686,-0.0067573294782646,-0.0086414960483775,-0.0147595660013247,-0.0157446789815118,-0.0087677261152285,-0.0107359497696665,-0.0064201562634899,-0.0064201562634899,-0.0064201562634899,-0.0052029398257411,0.000911525909955
2021-01-22,-0.0054558255621613,-0.0055708685937373,-0.0057800005870685,-0.0058497216743822,-0.0043693895931069,6.017569467158955e-05,0.0015621333769921,0.0019526425140827,0.0019526425140827,0.0019526425140827,-0.0044557808612263,-0.0035392852710288
2021-01-25,-0.0020092192356475,-0.0040340967202668,-0.0054326506652834,-0.0031622254438032,0.0013517241602915,0.0075657787314353,0.0189502152972638,0.0403478061146038,0.0403478061146038,0.0403478061146038,0.0004847101584096,0.0039437124598153
2021-01-26,-0.0063825643755327,-0.0077162337895994,-0.0090167467433091,-0.0100492485870172,-0.0095325581935164,-0.0107176884501642,0.0038563284937548,0.0025999188207492,0.0025999188207492,0.0025999188207492,-0.0039445500874431,-0.0015607544222088
2021-01-27,-0.0275157142764006,-0.029716620063478,-0.0288549008139326,-0.0277439658420214,-0.0226786926471422,-0.0297560408630654,-0.0277649609747638,-0.0214360847706407,-0.0214360847706407,-0.0214360847706407,-0.0264502029061327,-0.0244406018751479
2021-01-28,0.0145010099278261,0.0159747473453305,0.0149807008724564,0.0112047870376884,0.0064448042690032,0.0044315676528088,-0.0059943127039779,-0.0332462401466606,-0.0332462401466606,-0.0332462401466606,0.0142246391304358,0.0086001806535656
2021-01-29,-0.0199507214199336,-0.0210966005233139,-0.0213921812450373,-0.020929907469119,-0.0232623065113929,-0.0208212050619823,-0.0388178097299149,-0.0501537349140389,-0.0501537349140389,-0.0501537349140389,-0.0176538870070917,-0.0200197685924116
2021-02-01,0.0101083249640049,0.0110298753420291,0.0097467097249486,0.0123294713409962,0.011339946819009,0.015174878451476,0.0263749431832132,0.0583216728676345,0.0583216728676345,0.0583216728676345,0.0080454080256582,0.0166457710123439
2021-02-02,0.0200506474251353,0.0225026532305492,0.024144114022844,0.0226397060000673,0.0228320147395252,0.0202157092979916,0.0223140080285271,0.0392707265317158,0.0392707265317158,0.0392707265317158,0.0161575146104174,0.0141401322070517
2021-02-03,0.0050784895279079,0.0069175336529755,0.0075246921688747,0.008445464827775,0.0096986861453831,0.0060662872268573,0.0040612049579101,-0.0207380653325632,-0.0207380653325632,-0.0207380653325632,0.002603940678729,0.0007864442846865
2021-02-04,0.0165768530740262,0.0174896267541655,0.0185505732336049,0.0149088542607781,0.020248065771894,0.012852126349793,0.0080239443620431,-0.0054991198109066,-0.0054991198109066,-0.0054991198109066,0.014029171940374,0.0113654751486098
2021-02-05,0.004341037314026,0.00408522575041,0.003980866474757,0.0029447080104787,0.0038041988130354,0.0024187420752107,0.0021083867416491,0.0026353496607176,0.0026353496607176,0.0026353496607176,0.0050011929798795,0.0039361240033524
2021-02-08,0.0141480296562034,0.0163162296434463,0.0194696851509443,0.0220765846435088,0.0239202836561116,0.0233414874297962,0.0177679385982482,0.0131302972383458,0.0131302972383458,0.0131302972383458,0.0092364354622894,0.0072219698434545
2021-02-09,-0.0010548286701948,-0.0013162374680393,-0.0011279602730202,-0.0008354742725631,0.0001626238194579,0.0011313498381523,0.0085519740498425,-0.0161683216431521,-0.0161683216431521,-0.0161683216431521,-0.0008577286908325,-0.0006659744056433
2021-02-10,0.0006859942371684,0.0008089436148844,0.0017618495385782,0.0037163095777769,0.0047099815239576,0.0051042674259642,-0.0154334459391271,-0.0525509443039983,-0.0525509443039983,-0.0525509443039983,-0.0001297855846375,-0.0004355762732205
2021-02-11,0.0012760674159985,0.0017542947916747,0.0018756957235361,0.0016725353002916,0.0048062343324913,0.0095718901266446,0.0100844090156724,0.0084987898117356,0.0084987898117356,0.0084987898117356,0.0002230314936834,0.0016149969588212
2021-02-12,0.0053269083464083,0.0057300083458073,0.0074177053834096,0.0048792415905719,0.0043316212284163,0.0016356578871738,0.0026704912804448,0.0054949009034128,0.0054949009034128,0.0054949009034128,0.0042448000349426,0.0049398040246062
2021-02-16,0.0051471104257667,0.0077834151575514,0.0107390737666362,0.0092510737207814,0.0115888286508882,0.0061785602121243,0.0007784502823889,-0.0243836608236719,-0.0243836608236719,-0.0243836608236719,0.001610344761346,-0.0008659334901137
2021-02-17,0.0004987240659241,-8.228365627034021e-05,-0.0010004323356124,-0.0050667450447467,-0.0039999203711661,-0.0077269399533626,-0.0059533891145978,0.0024238672272685,0.0024238672272685,0.0024238672272685,0.0026705399565181,0.0002293843150724
2021-02-18,-0.008748725838938,-0.0099777703417059,-0.0114702920411101,-0.0159798129343089,-0.0205624585066726,-0.0190388040201255,-0.0198999280045093,-0.0134936910453242,-0.0134936910453242,-0.0134936910453242,-0.0056479019797697,-0.0042557867727701
2021-02-19,0.0056336640168912,0.0083307825750031,0.0140693289645071,0.0183096374666304,0.0200665562981802,0.0197397066790928,0.0177373391177725,-0.0077218335337335,-0.0077218335337335,-0.0077218335337335,-0.0013502203897458,-0.0017662009847052
2021-02-22,0.0013134870644236,0.0012849430027429,0.0015757967529343,0.001897700615248,0.00753808249478,-0.0060259588309331,-0.0322686965571551,-0.0854984585555993,-0.0854984585555993,-0.0854984585555993,0.0011697529615443,-0.0076918533059651
2021-02-23,0.0006246445480936,0.0006713353167207,-0.0002485356103616,-0.000310919060162,-0.0013318845093397,-0.0061127117808078,-0.0039096212033453,-0.0219174294299173,-0.0219174294299173,-0.0219174294299173,0.0008183561584173,0.0012145941516397
2021-02-24,0.0235412727829081,0.0269451206493984,0.0316130019423526,0.0377625877124006,0.0413113253336862,0.0447769890608577,0.0593567739209282,0.0617880726639228,0.0617880726639228,0.0617880726639228,0.0149856831319726,0.0110193564124536
